,Coin,Flip,Hat
0,1,0,1
1,0,1,1
2,0,1,1
3,0,1,0
4,0,0,1
5,1,1,0
6,0,0,0
7,1,0,1
8,0,1,0
9,0,0,1
10,1,1,1
11,0,1,1
12,1,1,1
13,0,1,0
14,0,0,0
15,1,0,1
16,0,1,0
17,0,0,0
18,1,1,0
19,1,0,0
20,1,0,0
21,0,1,0
22,1,0,1
23,1,0,0
24,1,0,0
25,0,0,1
26,1,1,0
27,0,1,0
28,0,0,0
29,1,0,0
30,1,0,0
31,0,1,1
32,1,0,0
33,1,1,1
34,0,0,1
35,1,1,1
36,0,1,0
37,1,1,1
38,0,1,0
39,0,0,1
40,0,0,1
41,0,0,0
42,0,1,0
43,1,0,0
44,0,0,0
45,1,0,1
46,0,1,1
47,1,1,0
48,1,0,1
49,0,0,1
50,0,1,1
51,1,0,0
52,0,1,0
53,0,0,0
54,0,1,1
55,1,1,0
56,0,0,0
57,0,1,0
58,0,1,0
59,0,1,0
60,1,0,0
61,1,0,1
62,0,1,0
63,0,0,1
64,0,1,0
65,1,0,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,1,0,0
71,0,0,0
72,0,1,0
73,0,0,0
74,0,0,0
75,0,1,1
76,0,0,0
77,1,0,0
78,1,0,1
79,0,1,1
80,0,0,0
81,0,0,0
82,0,1,1
83,0,0,0
84,1,1,0
85,1,0,0
86,1,0,1
87,0,1,0
88,0,1,0
89,1,1,1
90,0,0,1
91,0,0,0
92,1,0,0
93,1,1,0
94,1,0,0
95,1,0,0
96,0,0,0
97,0,0,0
98,1,0,0
99,0,0,0
100,0,1,0
101,1,0,0
102,1,0,1
103,0,1,1
104,1,0,1
105,0,1,0
106,0,1,0
107,0,0,0
108,0,0,0
109,1,0,1
110,1,0,0
111,0,1,0
112,0,1,1
113,1,0,1
114,0,1,0
115,1,1,1
116,0,1,0
117,1,0,1
118,1,0,1
119,1,0,0
120,0,1,0
121,1,1,1
122,0,1,0
123,1,1,0
124,0,1,1
125,0,1,1
126,1,1,1
127,0,1,0
128,0,0,0
129,0,0,0
130,0,1,1
131,0,0,0
132,0,0,1
133,1,0,1
134,0,1,0
135,1,1,1
136,0,0,0
137,0,0,1
138,1,0,1
139,0,0,1
140,1,0,1
141,0,1,0
142,0,1,0
143,0,0,0
144,1,1,0
145,1,1,1
146,0,1,1
147,1,0,0
148,1,0,0
149,1,0,1
150,0,0,0
151,1,1,0
152,0,0,0
153,0,0,1
154,1,1,0
155,0,0,1
156,0,1,0
157,0,0,1
158,1,0,1
159,0,1,0
160,0,0,1
161,0,1,0
162,0,0,1
163,1,0,0
164,0,1,0
165,0,0,1
166,0,1,1
167,1,0,0
168,0,0,1
169,0,0,1
170,0,1,1
171,0,0,1
172,1,1,0
173,1,0,0
174,0,1,1
175,0,0,0
176,0,1,1
177,1,1,0
178,0,0,1
179,1,0,1
180,1,1,0
181,1,0,1
182,0,1,0
183,1,1,1
184,0,0,0
185,1,1,0
186,0,1,1
187,0,1,1
188,0,0,0
189,1,0,0
190,1,0,1
191,0,0,1
192,1,0,0
193,0,1,0
194,1,1,0
195,1,0,1
196,0,0,0
197,1,0,0
198,1,1,0
199,0,1,0
200,0,1,1
201,0,0,0
202,0,0,1
203,0,0,0
204,1,0,1
205,0,0,1
206,0,0,0
207,1,0,1
208,1,1,0
209,0,1,1
210,0,0,0
211,0,0,0
212,1,1,0
213,1,1,1
214,0,1,0
215,1,1,0
216,0,1,1
217,0,1,0
218,1,0,1
219,0,1,0
220,0,1,1
221,0,0,0
222,1,0,1
223,0,0,0
224,0,1,1
225,1,0,0
226,0,0,1
227,0,1,0
228,1,0,0
229,1,1,1
230,0,1,0
231,0,0,0
232,0,0,0
233,1,0,1
234,0,0,1
235,1,0,0
236,0,0,0
237,1,1,1
238,0,1,0
239,1,1,0
240,0,0,0
241,1,0,0
242,0,1,0
243,1,0,1
244,0,1,0
245,0,0,1
246,0,1,0
247,1,1,1
248,1,0,0
249,1,0,0
250,0,0,0
251,0,0,0
252,1,0,0
253,0,0,0
254,0,1,1
255,1,1,0
256,0,1,1
257,0,0,0
258,1,0,0
259,1,0,1
260,0,0,0
261,1,1,0
262,0,1,0
263,1,0,0
264,0,1,0
265,0,0,0
266,0,0,0
267,1,0,0
268,0,1,0
269,0,1,1
270,1,0,1
271,1,0,1
272,1,1,1
273,0,1,0
274,0,1,0
275,0,1,0
276,0,1,0
277,1,0,1
278,0,0,0
279,1,0,1
280,1,0,1
281,1,1,0
282,0,1,0
283,0,1,0
284,0,1,0
285,1,0,1
286,0,1,1
287,0,0,0
288,0,0,0
289,1,0,1
290,0,0,1
291,0,1,0
292,0,0,0
293,1,0,0
294,1,1,1
295,0,1,0
296,1,1,1
297,1,0,1
298,1,1,1
299,0,0,0
300,0,0,1
301,0,0,1
302,0,1,0
303,0,1,1
304,0,1,0
305,0,1,1
306,0,1,1
307,1,1,1
308,0,1,0
309,1,0,0
310,1,1,1
311,1,1,1
312,0,0,1
313,0,1,1
314,0,1,0
315,0,1,0
316,0,1,1
317,1,1,0
318,1,1,1
319,0,1,0
320,0,1,0
321,0,0,1
322,1,0,1
323,0,1,1
324,0,1,0
325,1,0,0
326,0,1,0
327,1,1,0
328,0,1,0
329,1,1,0
330,0,1,1
331,1,0,0
332,0,1,0
333,0,0,1
334,0,1,0
335,1,1,0
336,0,1,0
337,0,1,0
338,0,0,0
339,0,1,1
340,1,0,1
341,0,0,0
342,0,1,1
343,0,0,0
344,0,1,0
345,0,1,0
346,0,1,0
347,1,0,0
348,0,1,0
349,1,1,0
350,0,1,0
351,1,1,1
352,1,0,1
353,0,1,0
354,0,0,1
355,0,1,0
356,1,1,0
357,0,1,1
358,1,1,1
359,0,1,1
360,1,0,0
361,0,1,1
362,0,1,0
363,0,1,1
364,0,0,0
365,1,1,0
366,0,1,0
367,0,0,0
368,1,1,0
369,0,1,1
370,1,0,1
371,0,1,0
372,0,1,0
373,0,0,0
374,0,0,0
375,0,1,1
376,0,1,0
377,0,1,0
378,0,1,1
379,1,1,0
380,1,0,1
381,1,0,1
382,1,1,0
383,1,0,0
384,0,1,0
385,0,0,0
386,0,0,0
387,0,0,0
388,0,0,0
389,0,1,1
390,0,1,1
391,0,0,1
392,0,1,0
393,0,0,0
394,0,0,0
395,1,0,0
396,1,0,1
397,1,1,1
398,1,1,1
399,0,1,0
400,1,0,0
401,0,1,1
402,0,0,0
403,1,0,0
404,1,1,1
405,0,0,0
406,0,1,0
407,1,1,1
408,0,1,0
409,0,1,0
410,1,1,1
411,0,0,0
412,0,0,1
413,0,1,0
414,1,1,1
415,0,1,1
416,0,0,0
417,1,0,0
418,1,0,1
419,0,1,1
420,1,1,1
421,1,0,0
422,0,1,0
423,1,0,0
424,1,0,0
425,0,0,0
426,0,0,1
427,0,1,0
428,0,1,0
429,0,1,0
430,0,0,0
431,0,0,1
432,1,1,0
433,0,0,0
434,1,0,0
435,0,0,0
436,0,0,1
437,0,0,0
438,1,1,1
439,0,1,1
440,1,0,0
441,0,0,0
442,1,0,0
443,0,1,0
444,0,0,0
445,1,0,1
446,1,1,0
447,1,1,0
448,1,1,1
449,0,1,0
450,1,1,0
451,0,0,0
452,0,0,1
453,0,0,1
454,1,0,0
455,1,0,0
456,0,1,0
457,0,1,0
458,0,0,1
459,0,0,0
460,0,1,0
461,1,0,0
462,1,0,0
463,0,1,1
464,0,0,1
465,0,0,0
466,1,0,0
467,1,0,1
468,0,1,0
469,0,1,0
470,0,0,0
471,0,1,0
472,0,0,0
473,0,0,0
474,0,1,0
475,1,1,0
476,1,0,0
477,1,1,0
478,1,1,0
479,0,0,0
480,1,0,1
481,0,1,0
482,1,0,1
483,0,1,0
484,0,0,0
485,0,0,0
486,1,0,0
487,0,0,1
488,0,1,0
489,0,1,0
490,1,1,0
491,0,0,0
492,1,0,0
493,0,1,1
494,1,0,1
495,1,1,1
496,1,1,0
497,0,0,0
498,0,1,0
499,0,1,1
